bathrooms,bedrooms,city,homeStatus,homeType,latitude,livingArea,longitude,price,state,streetAddress,zipcode,zpid
4.0,4.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.536766,3200.0,-74.15385,1199000.0,NY,164 Thornycroft Ave,10312,32348706
2.0,3.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.610477,1078.0,-73.93503,690000.0,NY,3319 Fillmore Ave,11234,30783776
3.0,4.0,Staten Island,FOR_SALE,MULTI_FAMILY,40.625664,1760.0,-74.14081,649000.0,NY,338 Decker Ave,10302,32297276
2.0,2.0,New York,FOR_SALE,CONDO,40.763935,1335.0,-73.96417,550000.0,NY,205 E 63rd St APT 14D,10065,443678350
1.0,2.0,New York,FOR_SALE,CONDO,40.720894,0.0,-73.978424,585000.0,NY,327 E 3rd St APT 5A,10009,122586129
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.528835,2038.0,-74.20085,899900.0,NY,80 Valdemar Ave,10309,32369345
1.0,3.0,Flushing,FOR_SALE,SINGLE_FAMILY,40.768963,1080.0,-73.78963,598000.0,NY,32-19 Jordan Street,11358,32058763
2.0,3.0,Staten Island,FOR_SALE,MULTI_FAMILY,40.535988,2444.0,-74.20941,969000.0,NY,1008 Rathbun Ave,10309,32370735
4.0,4.0,Jamaica,FOR_SALE,SINGLE_FAMILY,40.684216,2069.0,-73.81618,749999.0,NY,12605 109th Avenue,11420,32129078
2.0,2.0,Jamaica,FOR_SALE,CONDO,40.71719,1050.0,-73.81251,320000.0,NY,147-43 Village Road #38C,11435,79734304
2.0,3.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.62004,1012.0,-73.92772,500000.0,NY,1669 E 49th St,11234,30764373
1.0,2.0,Jamaica,FOR_SALE,SINGLE_FAMILY,40.67905,475.0,-73.8061,489990.0,NY,134-07 116th Avenue,11420,32174243
3.0,6.0,Bronx,FOR_SALE,MULTI_FAMILY,40.841637,1600.0,-73.83441,948000.0,NY,1528 Mayflower Avenue,10461,29842541
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.566708,1250.0,-74.15086,649999.0,NY,59 Tanglewood Dr,10308,32340748
1.0,2.0,New York,FOR_SALE,CONDO,40.71194,1391.0,-73.99404,650000.0,NY,48 Market St FLOOR 7,10002,450555942
2.0,2.0,Staten Island,FOR_SALE,TOWNHOUSE,40.54522,2001.0,-74.1674,549999.0,NY,75 Chesebrough St,10312,32355511
3.0,6.0,Bronx,FOR_SALE,MULTI_FAMILY,40.831215,2598.0,-73.86555,1400000.0,NY,1241 Taylor Avenue,10472,29795440
1.0,1.0,Bronx,FOR_SALE,CONDO,40.868286,800.0,-73.86324,100000.0,NY,2922 Barnes Avenue #3A,10467,244451546
1.0,2.0,Jamaica,FOR_SALE,CONDO,40.713127,856.0,-73.81909,250000.0,NY,139-15 83rd Ave APT 310,11435,245453608
1.0,2.0,Brooklyn,FOR_SALE,CONDO,40.68202,0.0,-73.99791,999000.0,NY,232 President St APT 4R,11231,72656535
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.56339,1050.0,-74.14175,549000.0,NY,240 Corona Ave,10306,32340694
6.0,8.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.706676,4800.0,-73.920654,399000.0,NY,58 Saint Nicholas Ave #6,11237,440959976
2.0,2.0,Oakland Gardens,FOR_SALE,CONDO,40.74389,895.0,-73.75943,445000.0,NY,67-15 Bell Boulevard #Duplex,11364,219873781
1.0,2.0,Bronx,FOR_SALE,CONDO,40.888115,1000.0,-73.90485,359000.0,NY,3840 greystone Avenue #5G,10463,244444733
2.0,6.0,Jamaica,FOR_SALE,MULTI_FAMILY,40.669086,0.0,-73.789345,250000.0,NY,13026 150th St,11436,83052639
1.0,2.0,New York,FOR_SALE,CONDO,40.806496,0.0,-73.93867,198000.0,NY,78 E 127th St APT 18,10035,444452226
9.0,6.0,New York,FOR_SALE,CONDO,40.7615,8255.0,-73.971794,90000000.0,NY,432 Park Ave #PENTHOUSE,10022,2069500049
1.0,2.0,New York,FOR_SALE,CONDO,40.720913,0.0,-73.990845,585000.0,NY,46 Rivington St APT 1C,10002,450857947
3.0,3.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.670677,0.0,-73.98712,2250000.0,NY,237 8th St,11215,30584465
2.0,2.0,Bronx,FOR_SALE,SINGLE_FAMILY,40.8579,700.0,-73.789696,419000.0,NY,191 Terrace St,10464,29851273
1.0,1.0,New York,FOR_SALE,CONDO,40.76163,0.0,-73.98901,330000.0,NY,344 W 48th St APT 2FE,10036,244730063
8.0,6.0,New York,FOR_SALE,CONDO,40.739204,6659.0,-73.99475,35000000.0,NY,55 W 17th St #PENTHOUSE,10011,442165940
2.0,3.0,Flushing,FOR_SALE,SINGLE_FAMILY,40.767696,1080.0,-73.787575,859000.0,NY,33-18 201st Street,11361,32059663
2.0,2.0,Jamaica,FOR_SALE,CONDO,40.66786,900.0,-73.85071,395000.0,NY,15115 84th Street #3M,11414,32168760
4.0,6.0,Little Neck,FOR_SALE,MULTI_FAMILY,40.7716,3528.0,-73.73384,1898888.0,NY,253-45 Pembroke Avenue,11362,2068400024
4.0,4.0,New York,FOR_SALE,CONDO,40.761723,7455.0,-73.97834,64730000.0,NY,53 W 53rd St #PENTHOUSE 78,10019,338435923
3.0,4.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.5526,2288.0,-74.159325,599999.0,NY,61 E Figurea Ave,10308,32353049
2.0,6.0,Bronx,FOR_SALE,MULTI_FAMILY,40.876026,1824.0,-73.84545,625000.0,NY,3344 Eastchester Road,10469,29829880
